Name;Synonyme;Kategorie;Bezugseinheit;Energie, Kalorien (kcal)
Cannelloni mit Spinat-Ricotta-Füllung, zubereitet;;Gerichte/Italienische Gerichte;pro 100g essbarer Anteil;221
Cappuccino (ohne Schokoladenpulver), ungezuckert;;"Milch und Milchprodukte/Milch- und Joghurtgetränke;Alkoholfreie Getränke/Kaffee";pro 100 ml;37
Capuns, zubereitet;Mangoldwickel;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;165
Cashewnuss;Cashewkern;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;619
Cervelat;"Chlöpfer;Stumpen;Bockwurst";Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;249
Champignon (Konserve);;Gemüse/Pilze;pro 100g essbarer Anteil;19
Champignon, gedünstet (ohne Zugabe von Fett und Salz);;Gemüse/Pilze;pro 100g essbarer Anteil;29
Champignon, roh;;Gemüse/Pilze;pro 100g essbarer Anteil;25
Cheeseburger;;Gerichte/Fast Food;pro 100g essbarer Anteil;281
Chia-Samen;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;482
Chicorée, gedämpft (ohne Zugabe von Salz);Brüsseler Endivie;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;20
Chicorée, roh;Brüsseler Endivie;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;20
Chili con carne, zubereitet;;Gerichte/Eintöpfe und Suppen;pro 100g essbarer Anteil;115
Chinakohl, gedünstet (ohne Zugabe von Fett und Salz);"Pekingkohl;Selleriekohl;Japankohl";Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;14
Chinakohl, roh;"Pekingkohl;Selleriekohl;Japankohl";Gemüse/Gemüse frisch;pro 100g essbarer Anteil;14
Chräbeli (Anisgebäck);;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;366
Cicorino rot, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;19
Cocktailsauce, mit Rapsöl-Mayonnaise, hausgemacht;;Verschiedenes/Saucen;pro 100g essbarer Anteil;696
Colagetränk, gezuckert;;Alkoholfreie Getränke/Süssgetränke;pro 100 ml;40
Colagetränk, mit Süssstoffen;;Alkoholfreie Getränke/Süssgetränke energievermindert;pro 100 ml;0
Coleslaw Salat, zubereitet;;Gerichte/Salate;pro 100g essbarer Anteil;124
Coppa;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;319
Cordon Bleu aus Kalbsplätzli, gebraten;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;233
Cordon Bleu aus Schweinsplätzli, gebraten;;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;241
Cornflakes;;Brote, Flocken und Frühstückscerealien/Müeslimischungen und Frühstückscerealien;pro 100g essbarer Anteil;363
Cotechino;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;450
Cotto (Fleischerzeugnis);;Fleisch- und Wurstwaren/Kochwurstware;pro 100g essbarer Anteil;93
Cracker, Salzgebäck, Apérogebäck;;Salzige Snacks/Salzsticks und Bretzel;pro 100g essbarer Anteil;449
Crèmeschnitte;;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;301
Crêpes mit Camembert, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;247
Crêpes mit Champignonfüllung, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;139
Crêpes mit Gemüsefüllung, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;165
Crêpes mit Nutella, zubereitet;;Gerichte/Sonstige süsse Gerichte;pro 100g essbarer Anteil;378
Crêpes mit Schinken, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;193
Crêpes mit Speck, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;253
Crêpes mit Zimt und Zucker, zubereitet;;Gerichte/Sonstige süsse Gerichte;pro 100g essbarer Anteil;254
Crêpes nature, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;234
Crevettencocktail, zubereitet;;Gerichte/Salate;pro 100g essbarer Anteil;167
Croque Monsieur ;Toast mit Schinken und Käse;Gerichte/Sandwiches;pro 100g essbarer Anteil;260
Dattel, getrocknet;;Früchte/Früchte getrocknet;pro 100g essbarer Anteil;289
Dinkelmehl, Ruch, Typ 1100;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;348
Dinkelmehl, Vollkorn, Typ 1900;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;346
Dinkelmehl, weiss, Typ 550;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;348
Distelöl;;Fette und Öle/Öle;pro 100 ml;810
Doppelrahm, pasteurisiert;;"Fette und Öle/Rahm;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;468
Dörrbohne, eingeweicht, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;79
Dorsch, Filet, gedämpft (ohne Zusatz von Fett und Salz);;Fisch/Meeresfische;pro 100g essbarer Anteil;72
Dorsch, roh;Kabeljau;Fisch/Meeresfische;pro 100g essbarer Anteil;76
Dulce de Leche;Milchkonfitüre;Süssigkeiten/Konfitüren und süsse Brotaufstriche;pro 100g essbarer Anteil;299
Edelkastanie, roh;Marroni;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;210
Egli, roh;Flussbarsch;Fisch/Süsswasserfische;pro 100g essbarer Anteil;79
Eierlikör, 16.5 vol%;;Alkoholhaltige Getränke/Sonstige alkoholische Getränke;pro 100 ml;313
Eieromeletten mit Käse, zubereitet;Französische Omeletten;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;192
Eieromeletten mit Schinken, zubereitet;Französische Omeletten;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;143
Eieromeletten mit Speck, zubereitet;Französische Omeletten;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;175
Eieromeletten, zubereitet;Französische Omeletten;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;151
Eierschwamm, gedünstet (ohne Zugabe von Fett und Salz);Pfifferling;Gemüse/Pilze;pro 100g essbarer Anteil;28
Eierschwamm, roh;Pfifferling;Gemüse/Pilze;pro 100g essbarer Anteil;24
Eisbergsalat, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;16
Eistee, gezuckert;;"Alkoholfreie Getränke/Süssgetränke;Alkoholfreie Getränke/Tee";pro 100g essbarer Anteil;30
Emmentaler, vollfett;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;408
Endivie, roh;Frisée Salat;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;16
Energy Drink, gezuckert;;Alkoholfreie Getränke/Süssgetränke;pro 100 ml;44
Engadiner Nusstorte;;Süssigkeiten/Kuchen, Torten und Cake;pro 100g essbarer Anteil;481
Erbse (Konserve) ;;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;87
Erbse (Konserve), aufgewärmt (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;89
Erbse, grün, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;100
Erbse, grün, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;90
Erbse, reif, getrocknet;Erbse, geschält, getrocknet;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;331
Erbse, reif, getrocknet, gekocht (ohne Zusatz von Fett und Salz);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;137
Erbsen und Karotten (Konserve);Rüebli;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;69
Erbsen und Karotten (Konserve), aufgewärmt (ohne Zugabe von Salz);Rüebli;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;70
Erdbeere, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;39
Erdnuss;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;623
Erdnuss-Flips;;Salzige Snacks/Sonstige salzige Snacks;pro 100g essbarer Anteil;507
Erdnuss, geröstet, gesalzen;;Salzige Snacks/Gesalzene Nüsse, Samen, Kerne;pro 100g essbarer Anteil;631
Erdnussbutter;;Süssigkeiten/Konfitüren und süsse Brotaufstriche;pro 100g essbarer Anteil;636
Erdnussöl;;Fette und Öle/Öle;pro 100 ml;810
Espresso crème, ungezuckert;;Alkoholfreie Getränke/Kaffee;pro 100g essbarer Anteil;28
Essig;;Verschiedenes/Salz, Gewürze und Aromen;pro 100 ml;22
Essig-Öl-Salatsauce, hausgemacht (mit Rapsöl);;Fette und Öle/Salatsaucen;pro 100 ml;315
Falafel, frittiert (in HOLL Rapsöl frittiert);;Gerichte/Orientalische Gerichte;pro 100g essbarer Anteil;222
Fasnachtschüechli;;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;553
Federkohl, gedünstet (ohne Zugabe von Salz und Fett);Grünkohl;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;47
Federkohl, roh;Grünkohl;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;44
Feige, getrocknet;Dörrfeige;Früchte/Früchte getrocknet;pro 100g essbarer Anteil;267
Feige, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;71
Felche, roh;;Fisch/Süsswasserfische;pro 100g essbarer Anteil;101
Fenchel, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;22
Fenchel, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;23
Fermentierter Teig;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;199
Fisch (Durchschnitt), Filet, gedämpft (ohne Zusatz von Fett und Salz);;Fisch;pro 100g essbarer Anteil;146
Fisch (Durchschnitt), roh ;;"Fisch/Süsswasserfische;Fisch/Meeresfische";pro 100g essbarer Anteil;146
Fischstäbchen (paniert und vorfritiert), gebraten in HOLL-Rapsöl;;Fisch/Meeresfische;pro 100g essbarer Anteil;300
Fischstäbchen (paniert und vorfritiert), im Ofen gebacken (ohne Zugabe von Fett);;Fisch/Meeresfische;pro 100g essbarer Anteil;248
Fischstäbchen, paniert und vorfritiert;;Fisch/Meeresfische;pro 100g essbarer Anteil;230
Flammenkuchen, gebacken;Flammkuchen;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;254
