Name;Synonyme;Kategorie;Bezugseinheit;Energie, Kalorien (kcal)
Süsskartoffel, gedämpft (ohne Zugabe von Salz);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;81
Süsskartoffel, roh;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;81
Taboulé, zubereitet (mit Bulgur);;Gerichte/Salate;pro 100g essbarer Anteil;111
Taboulé, zubereitet (mit Couscous);;Gerichte/Salate;pro 100g essbarer Anteil;130
Tartarsauce, mit Rapsöl-Mayonnaise, hausgemacht;;Verschiedenes/Saucen;pro 100g essbarer Anteil;384
Tee, ungezuckert;;Alkoholfreie Getränke/Tee;pro 100 ml;0
Teigwaren mit Ei, gekocht im Salzwasser (unjodiert);Eierteigwaren;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren;pro 100g essbarer Anteil;132
Teigwaren mit Ei, trocken;Eierteigwaren;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren;pro 100g essbarer Anteil;365
Teigwaren ohne Ei, gekocht im Salzwasser (unjodiert);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren;pro 100g essbarer Anteil;158
Teigwaren ohne Ei, trocken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren;pro 100g essbarer Anteil;353
Teigwaren ohne Ei, Vollkorn, gekocht im Salzwasser (unjodiert);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren;pro 100g essbarer Anteil;152
Teigwaren ohne Ei, Vollkorn, trocken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren;pro 100g essbarer Anteil;338
Teigwaren, frisch, gefüllt mit Fleisch, gekocht (ohne Zugabe von Fett und Salz);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren;pro 100g essbarer Anteil;174
Teigwaren, frisch, gefüllt mit Spinat und Ricotta, gekocht (ohne Zugabe von Fett und Salz);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren;pro 100g essbarer Anteil;179
Teigwaren, frisch, gefüllt mit Spinat und Ricotta, roh;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren;pro 100g essbarer Anteil;214
Teigwarenauflauf mit Schinken, zubereitet;;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;163
Teigwarensalat mit französischer Sauce;;Gerichte/Salate;pro 100g essbarer Anteil;128
Teigwarensalat mit italienischer Sauce;;Gerichte/Salate;pro 100g essbarer Anteil;130
Teilentrahmte Milch, pasteurisiert;;Milch und Milchprodukte/Milch;pro 100 ml;56
Teilentrahmte Milch, UHT;;Milch und Milchprodukte/Milch;pro 100 ml;57
Terrine de Campagne;Pâté de campagne;Fleisch- und Wurstwaren/Kochwurstware;pro 100g essbarer Anteil;298
Tessinerbrot;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;323
Tête de Moine;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;417
Thon im Öl, abgetropft;;Fisch/Meeresfische;pro 100g essbarer Anteil;186
Thon im Wasser, abgetropft;;Fisch/Meeresfische;pro 100g essbarer Anteil;117
Thonsalat an Essig-Öl-Sauce (aus Thon im Wasser);;Gerichte/Salate;pro 100g essbarer Anteil;109
Thunfisch, roh;;Fisch/Meeresfische;pro 100g essbarer Anteil;149
Thymian, roh;;Gemüse/Kräuter;pro 100g essbarer Anteil;52
Tilsiter, pasteurisiert, vollfett;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;351
Tilsiter, Rohmilch, vollfett;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;376
Tirolercake;;Süssigkeiten/Kuchen, Torten und Cake;pro 100g essbarer Anteil;412
Toastbrot mit Butter;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;316
Toastbrot mit Pflanzenölen;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;267
Toastbrot, Vollkorn;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;271
Toastbrot,dunkel oder Mehrkorn;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;272
Tofu, fest, nature (Durchschnitt);;Fleischersatzprodukte;pro 100g essbarer Anteil;148
Tofu, fest, nature (hergestellt mit Calciumsalz);;Fleischersatzprodukte;pro 100g essbarer Anteil;148
Tofu, fest, nature (hergestellt mit Nigari);;Fleischersatzprodukte;pro 100g essbarer Anteil;148
Tofu, geräuchert (Durchschnitt);;Fleischersatzprodukte;pro 100g essbarer Anteil;164
Tofu, geräuchert (hergestellt mit Calciumsalz);;Fleischersatzprodukte;pro 100g essbarer Anteil;164
Tofu, geräuchert (hergestellt mit Nigari);;Fleischersatzprodukte;pro 100g essbarer Anteil;164
Tofu, seidig (weich), nature;Seidentofu, nature;Fleischersatzprodukte;pro 100g essbarer Anteil;53
Tomate, gedünstet (ohne Zugabe von Fett und Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;26
Tomate, geschält (Konserve);Pelati;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;20
Tomate, getrocknet;;Gemüse/Gemüse getrocknet;pro 100g essbarer Anteil;210
Tomate, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;21
Tomatenkuchen, gebacken (mit Blätterteig);Tomatenwähe;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;155
Tomatenkuchen, gebacken (mit Kuchenteig);Tomatenwähe;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;158
Tomatenpüree;Tomatenmark;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;77
Tomatensaft;;"Alkoholfreie Getränke/Frucht- und Gemüsesäfte;Gemüse/Gemüsesäfte";pro 100 ml;16
Tomatensauce;;Verschiedenes/Saucen;pro 100g essbarer Anteil;69
Tomatensuppe;;Gerichte/Eintöpfe und Suppen;pro 100g essbarer Anteil;42
Tomme;;Milch und Milchprodukte/Weichkäse;pro 100g essbarer Anteil;284
Topinambur, gekocht (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;52
Topinambur, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;54
Traube, weiss, roh;Weintraube;Früchte/Früchte frisch;pro 100g essbarer Anteil;69
Traubenkernöl;;Fette und Öle/Öle;pro 100 ml;810
Traubensaft;;"Früchte/Fruchtsäfte;Alkoholfreie Getränke/Frucht- und Gemüsesäfte";pro 100 ml;71
Traubenzucker;"Glukose;Dextrose";Süssigkeiten/Zucker und Süssstoffe;pro 100g essbarer Anteil;399
Trinkwasser (Mittelwert Schweiz);;Alkoholfreie Getränke/Trinkwasser;pro 100 ml;0
Trockenfleisch;"Hobelfleisch;Bündnerfleisch";Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;190
Truthahn, Brust, Schnitzel oder Geschnetzeltes, grebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;139
Truthahn, Brust, Schnitzel oder Geschnetzeltes, roh;;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;108
Vacherin Mont d'Or;;Milch und Milchprodukte/Weichkäse;pro 100g essbarer Anteil;279
Vanillecrème, hausgemacht, gekocht;;Süssigkeiten/Cremen und Pudding;pro 100g essbarer Anteil;109
Vegetarisches Gehacktes/Geschnetzeltes, aus Mykoprotein, roh;;Fleischersatzprodukte;pro 100g essbarer Anteil;92
Vinaigrette (mit Rapsöl);;Fette und Öle/Salatsaucen;pro 100 ml;255
Vitello tonnato mit Garnitur;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;173
Vitello tonnato ohne Garnitur;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;198
Vollkornreiswaffel;;Brote, Flocken und Frühstückscerealien/Knäckebrote, Zwieback, Crackers und Waffeln;pro 100g essbarer Anteil;390
Vollmilch, pasteurisiert;;Milch und Milchprodukte/Milch;pro 100 ml;68
Vollmilch, standardisiert, 3.5% Fett, UHT;;Milch und Milchprodukte/Milch;pro 100 ml;65
Vollmilch, UHT;;Milch und Milchprodukte/Milch;pro 100 ml;68
Vollmilchpulver;;Milch und Milchprodukte/Milch;pro 100g essbarer Anteil;480
Vollrahm, pasteurisiert;;"Fette und Öle/Rahm;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;334
Vollrahm, UHT;;"Fette und Öle/Rahm;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;335
Vorderschinken;;Fleisch- und Wurstwaren/Kochwurstware;pro 100g essbarer Anteil;106
Vorzugsbutter;;"Fette und Öle/Fette;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;746
Walliser Roggenbrot;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;227
Wasabi Paste;;Verschiedenes/Saucen;pro 100g essbarer Anteil;308
Wassereis;Wasserglacé;Süssigkeiten/Glacen auf Wasserbasis;pro 100g essbarer Anteil;88
Wassermelone, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;37
Weichkaramellen, Bonbons;;Süssigkeiten/Bonbons, Frucht- und Kaugummi;pro 100g essbarer Anteil;448
Weichkäse (Durchschnitt ohne fettreduzierte Varianten);;Milch und Milchprodukte/Weichkäse;pro 100g essbarer Anteil;325
Weichkäse, Doppelrahm;;Milch und Milchprodukte/Weichkäse;pro 100g essbarer Anteil;376
Weichkäse, Rahm;;Milch und Milchprodukte/Weichkäse;pro 100g essbarer Anteil;347
Weichkäse, vollfett;;Milch und Milchprodukte/Weichkäse;pro 100g essbarer Anteil;296
Wein rot, 12 vol%;Rotwein;Alkoholhaltige Getränke/Wein;pro 100 ml;69
Wein rot, 13.5 vol%;Rotwein;Alkoholhaltige Getränke/Wein;pro 100 ml;76
Wein rot, 9 vol%;Rotwein;Alkoholhaltige Getränke/Wein;pro 100 ml;54
Wein weiss, 11 vol%;Weisswein;Alkoholhaltige Getränke/Wein;pro 100 ml;70
Wein weiss, 12.5 vol%;Weisswein;Alkoholhaltige Getränke/Wein;pro 100 ml;71
Wein weiss, gespritzt, sauer;;Alkoholhaltige Getränke/Wein;pro 100 ml;36
Wein weiss, gespritzt, süss;;Alkoholhaltige Getränke/Wein;pro 100 ml;55
Weissbrot;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;242
Weisskohl, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;35
Weisskohl, gedünstet (ohne Zugabe von Fett und Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;37
Weisskohl, roh;Weisskabis;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;36
Weisswurst;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;220
Weizen (Weichweizen), ganzes Korn;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;pro 100g essbarer Anteil;327
Weizenflocken, Vollkorn;;Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime;pro 100g essbarer Anteil;335
Weizenkeime;;"Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime;Speziallebensmittel/Supplemente";pro 100g essbarer Anteil;375
Weizenkeimöl;;Fette und Öle/Öle;pro 100 ml;810
Weizenkleie;Speisekleie;Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime;pro 100g essbarer Anteil;264
Weizenmehl (Backmehl), Typ 550;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;344
Weizenmehl, halbweiss, Typ 720;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;340
Weizenmehl, Ruch, Typ 1100;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;339
Weizenmehl, Vollkorn, Typ 1700;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;338
Weizenmehl, weiss, Typ 400;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;346
Weizenotto, gekocht;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;163
Weizenstärke;;"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;Verschiedenes/Gelier- und Bindemittel";pro 100g essbarer Anteil;348
Weizenvollkornbrot;Grahambrot;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;213
Wermut, 15 vol%;"Wermutwein;Wermuth;Vermouth";Alkoholhaltige Getränke/Wein;pro 100 ml;139
Wienerli;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;242
Wienerli, gekocht;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;220
Wildfleisch (Durchschnitt), gekocht (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Wild;pro 100g essbarer Anteil;157
Wildfleisch (Durchschnitt), roh;;Fleisch und Innereien/Wild;pro 100g essbarer Anteil;115
Wildfleischterrine;;Fleisch und Innereien/Wild;pro 100g essbarer Anteil;242
Wildschwein (Durchschnitt), roh;;Fleisch und Innereien/Wild;pro 100g essbarer Anteil;108
Wirz, gedämpft (ohne Zugabe von Salz);Wirsingkohl;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;30
Wirz, roh;Wirsingkohl;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;31
Wurst-Käse-Salat, zubereitet;;Gerichte/Salate;pro 100g essbarer Anteil;262
Wurstsalat, zubereitet;;Gerichte/Salate;pro 100g essbarer Anteil;224
Wurzel- und Knollengemüse (Durchschnitt), gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;42
Wurzel- und Knollengemüse (Durchschnitt), gedünstet (ohne Zugabe von Fett und Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;36
Wurzel- und Knollengemüse (Durchschnitt), gekocht (ohne Zugabe von Fett und Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;38
Wurzel- und Knollengemüse (Durchschnitt), roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;39
Zampone;Gefüllter Schweinsfuss;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;361
Ziege (Durchschnitt), roh;;Fleisch und Innereien/Sonstige Tierarten;pro 100g essbarer Anteil;149
Ziegenmilch;;Milch und Milchprodukte/Milch;pro 100 ml;57
Ziger weiss;;Milch und Milchprodukte/Frischkäse und Quark;pro 100g essbarer Anteil;122
Zimt;;Verschiedenes/Salz, Gewürze und Aromen;pro 100g essbarer Anteil;317
Zimtstern;;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;505
Zitronat;;Süssigkeiten/Sonstige Süssigkeiten;pro 100g essbarer Anteil;289
Zitrone, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;23
Zitronensaft;;"Früchte/Fruchtsäfte;Alkoholfreie Getränke/Frucht- und Gemüsesäfte";pro 100 ml;28
Zitrusfrüchte (Durchschnitt), roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;41
Zucchetti-Piccata, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;124
Zucchetti, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;20
Zucchetti, gedünstet (ohne Zugabe von Fett und Salz);Zucchini;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;23
Zucchetti, roh;Zucchini;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;19
Zucchettischeiben, paniert, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;127
Zucker, braun;;Süssigkeiten/Zucker und Süssstoffe;pro 100g essbarer Anteil;390
Zucker, weiss;"Saccharose;Kristallzucker";Süssigkeiten/Zucker und Süssstoffe;pro 100g essbarer Anteil;400
Zuckerhutsalat, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;16
Zuckermais (Konserve);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;100
Zuckermais (Konserve), aufgewärmt (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;103
Zuckermelone, roh;Honigmelone;Früchte/Früchte frisch;pro 100g essbarer Anteil;62
Zuger Kirschtorte;;Süssigkeiten/Kuchen, Torten und Cake;pro 100g essbarer Anteil;335
Zunge (Durchschnitt aus Kalb und Rind), roh;;"Fleisch und Innereien/Kalb;Fleisch und Innereien/Rind";pro 100g essbarer Anteil;188
Zwetschge, gedünstet, abgetropft (ohne Zugabe von Zucker);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;43
Zwetschge, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;43
Zwetschgenkuchen, hausgemacht, gebacken (mit Blätterteig);Zwetschgenwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;139
Zwetschgenkuchen, hausgemacht, gebacken (mit Kuchenteig);Zwetschgenwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;141
Zwieback;;Brote, Flocken und Frühstückscerealien/Knäckebrote, Zwieback, Crackers und Waffeln;pro 100g essbarer Anteil;421
Zwieback, Vollkorn;;Brote, Flocken und Frühstückscerealien/Knäckebrote, Zwieback, Crackers und Waffeln;pro 100g essbarer Anteil;413
Zwiebel, gedünstet (ohne Zugabe von Fett und Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;43
Zwiebel, geröstet (ohne Zugabe von Fett und Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;92
Zwiebel, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;39
Zwiebelkuchen, gebacken (mit Blätterteig);Zwiebelwähe;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;169
Zwiebelkuchen, gebacken (mit Kuchenteig);Zwiebelwähe;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;171
Amaro Ramazzotti (30 vol%);;Alkoholhaltige Getränke/Sonstige alkoholische Getränke;pro 100 ml;242
Eichhof Hubertus (Spezialbier dunkel, 6 vol%);;Alkoholhaltige Getränke/Bier;pro 100 ml;45
Energy Drink, mit Süssstoffen (Durchschnitt von Markenprodukten);;Alkoholfreie Getränke/Süssgetränke energievermindert;pro 100 ml;1
Ittinger (Spezialbier Amber, 5.6 vol%);;Alkoholhaltige Getränke/Bier;pro 100 ml;47
Joghurt, nach griechischer Art, mit Rahm, nature (Durchschnitt von Markenprodukten);;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;117
Malibu Coconut (21 vol%);;Alkoholhaltige Getränke/Sonstige alkoholische Getränke;pro 100 ml;197
Pastis 51 de Marseille (45 vol%);;Alkoholhaltige Getränke/Sonstige alkoholische Getränke;pro 100 ml;257
Suze (20 vol%);;Alkoholhaltige Getränke/Sonstige alkoholische Getränke;pro 100 ml;175
Vanille Zucker (Durchschnitt von Markenprodukten);;Süssigkeiten/Zucker und Süssstoffe;pro 100g essbarer Anteil;391
Worcester Sauce (Durchschnitt von Markenprodukten);;Verschiedenes/Saucen;pro 100 ml;96
